Actual_quantity,Country,Created_date,Invoice_date,Master_data,Old_SKU_name,Requested_date,SKU_number,Shipped_date,Supplier
1,Belgium,06/06/2019,06/06/2019,,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,06/06/2019,AH-FOL-PUSH STYLE,06/06/2019,
,,,,['recJ0PlZPbclPcA0N'],,,Ahooga 1 Rear Frame,,
1,Belgium,10/07/2019,10/07/2019,,Ahooga 1 Inner Tire,10/07/2019,A1-2012,10/07/2019,AGU
1,Belgium,25/06/2019,25/06/2019,,Custom Color (6-10 weeks),25/06/2019,AH-FOL-CUSTOM RAL,25/06/2019,
1,Belgium,06/02/2019,06/02/2019,,Brooks Island Helmet Blue/Grey L,06/02/2019,BR406.OCT.L,06/02/2019,NOWCOMPANY
-1,Belgium,03/05/2019,03/05/2019,,BROWN SPORTY Saddle,03/05/2019,A1-7008,03/05/2019,UBW
,,,,['rec6dlr7JIqdLPCmi'],,,Upgrade to Leather Anatomical Saddle (Black),,
1,Belgium,04/04/2019,04/04/2019,,Ahooga Battery Charger,04/04/2019,A1-4006,04/04/2019,UBW
1,Belgium,30/04/2019,30/04/2019,,Maintenance Pack : BASIC,30/04/2019,SAV Basic,30/04/2019,
1,Belgium,25/06/2019,25/06/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),25/06/2019,AH-FOL-POW,25/06/2019,
1,Belgium,20/03/2019,20/03/2019,,Ahooga Modular Bike - 36V - 3S (10 weeks),20/03/2019,AH-MOD-36V-3S,20/03/2019,
1,Belgium,08/03/2019,08/03/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,08/03/2019,AH-FOL-HYB COMFORT,08/03/2019,
1,Belgium,11/03/2019,11/03/2019,,BIKE SHIPPING BE,11/03/2019,SHIPPING BE,11/03/2019,DPD
,,,,['recLYd9QccL55D9HK'],,,Modular - rear carrier 30kg + stand,,
1,Germany,04/06/2019,04/06/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),04/06/2019,AH-MOD-36V-8S,04/06/2019,
1,Belgium,29/05/2019,29/05/2019,,Abus Lock Iven 8210/110,29/05/2019,303647,29/05/2019,AGU
1,Belgium,13/06/2019,13/06/2019,,Riser handlebar 70mm,13/06/2019,AH-MOD-ACC-RIS70,13/06/2019,
1,Belgium,04/07/2019,04/07/2019,,Rear Carrier for Ahooga Folding B i k e,04/07/2019,AH-POW-ACC-CARRIER,04/07/2019,
1,Belgium,01/03/2019,01/03/2019,,HYBRID CUSTOM COLOR  RAL TBC FINISH TBC (6-10 weeks),01/03/2019,AH-FOL-COLOR CUSTOM  RAL TBC FINSIH TBC,01/03/2019,
1,Belgium,22/05/2019,22/05/2019,,Ahooga Folding Bike - Push/Essential - White Sunrise,22/05/2019,AH-FOL-PUSH ESS,22/05/2019,
1,Belgium,30/06/2019,30/06/2019,,BIKE SHIPPING BE,30/06/2019,SHIPPING BE,30/06/2019,DPD
1,Belgium,27/06/2019,27/06/2019,,Selle Royal Scientia R3,27/06/2019,Scientia R3,27/06/2019,SELLE ROYAL
1,Belgium,30/07/2019,30/07/2019,,Twist & Lock,30/07/2019,AH-FOL-TWISTANDLOCK,30/07/2019,UBW ZRT
,,,,['rec4d6SJq1D3cEKs5'],,,Ahooga Folding Bike - Power+ - Monk (Currently 10-12 weeks),,
1,Belgium,13/07/2019,13/07/2019,,Riser handlebar 70mm,13/07/2019,AH-MOD-ACC-RIS70,13/07/2019,
1,Belgium,12/06/2019,12/06/2019,,BEBAT Lights,12/06/2019,BEBAT2,12/06/2019,
1,Belgium,16/01/2019,16/01/2019,,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,16/01/2019,AH-FOL-PUSH STYLE,16/01/2019,
,,,,['recnKaSc6kv9tpMPg'],,,Ahooga 1 Rear Wheel Mechanical DISC,,
