,Actual_quantity,Customer,Product_group,Product_family,Country,New_SKU_Name,Created_date_month,Created_date_year
265,1,UBW,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,3,2019
266,1,,Component,Other,Belgium,Other,5,2019
267,1,DPD,Component,Other,France,Other,6,2019
268,1,,Component,Other,Belgium,Other,7,2019
269,1,UBW,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,4,2019
270,1,UBW,Component,Other,Belgium,Other,5,2019
271,4,,Component,Other,Belgium,Other,2,2019
272,1,AGU,Component,Other,Belgium,Other,5,2019
273,1,,Component,Other,Belgium,Other,8,2019
274,1,,Component,Other,Belgium,Other,6,2019
275,1,,Bike,Other,Belgium,Ahooga Modular Bike - Push - 8S,5,2019
276,1,UBW ZRT,Bike,Push 1.5,Germany,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,2,2019
277,2,,Component,Other,Belgium,Other,4,2019
278,1,AGU,Component,Other,Belgium,Other,7,2019
279,1,,Component,Other,Belgium,Other,7,2019
280,1,FAHRER,Component,Other,Belgium,Other,6,2019
281,1,Ahooga Sprl,Component,Other,Belgium,Other,1,2019
282,1,AGU,Component,Other,Belgium,Other,5,2019
283,1,UBW,Component,Other,Belgium,Other,6,2019
284,1,SELLE ROYAL,Component,Other,Belgium,Other,1,2019
285,1,Ahooga Sprl,Component,Other,Belgium,Other,3,2019
286,1,DPD,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,6,2019
287,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,3,2019
288,1,,Component,Other,Belgium,Other,5,2019
289,2,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,5,2019
290,1,DPD,Component,Other,Belgium,Other,7,2019
291,1,,Component,Other,Belgium,Other,3,2019
292,1,,Component,Other,Belgium,Other,6,2019
293,1,AGU,Component,Other,Belgium,Other,2,2019
294,1,AGU,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,7,2019
295,1,DPD,Component,Other,Belgium,Other,6,2019
296,1,,Component,Other,Belgium,Other,5,2019
297,2,AGU,Component,Other,Belgium,Other,3,2019
298,1,HARTJE,Component,Other,Belgium,Other,6,2019
299,1,,Component,Other,Belgium,Other,5,2019
300,1,Weldtite,Component,Other,Belgium,Other,6,2019
301,1,,Component,Other,Belgium,Other,4,2019
302,1,,Component,Other,Belgium,Other,7,2019
303,1,FAHRER,Component,Other,Belgium,Other,4,2019
304,1,,Component,Other,Belgium,Other,7,2019
305,1,AGU,Component,Other,Belgium,Other,5,2019
306,1,DPD,Component,Other,Germany,Other,2,2019
307,1,,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,5,2019
308,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,3,2019
309,1,,Component,Other,Belgium,Other,3,2019
310,1,,Component,Other,Belgium,Other,7,2019
311,1,UBW,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,7,2019
312,1,,Component,Other,Belgium,Other,7,2019
313,1,DPD,Component,Other,Belgium,Other,6,2019
314,1,AGU,Component,Other,Belgium,Other,6,2019
315,1,,Component,Other,Belgium,Other,5,2019
316,1,UBW ZRT,Component,Other,Belgium,Other,6,2019
317,1,AGU,Component,Other,Belgium,Other,2,2019
318,1,,Component,Other,Belgium,Other,5,2019
319,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,5,2019
320,1,,Component,Other,France,Other,4,2019
321,1,DPD,Component,Other,Belgium,Other,2,2019
322,1,Ahooga Sprl,Component,Other,Belgium,Other,2,2019
323,1,UBW,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
324,1,AGU,Component,Other,Belgium,Other,5,2019
325,1,,Component,Other,United Kingdom,Other,6,2019
326,1,,Component,Other,Belgium,Other,6,2019
327,1,,Component,Other,Belgium,Other,6,2019
328,1,AGU,Component,Other,Belgium,Other,6,2019
329,1,,Component,Other,Belgium,Other,3,2019
330,1,,Component,Other,Belgium,Other,5,2019
331,1,,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,2,2019
332,21,,Component,Other,Belgium,Other,6,2019
333,1,UBW,Bike,Push 1.5,,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,1,2019
334,1,,Component,Other,Netherlands,Other,4,2019
335,1,AGU,Component,Other,Belgium,Other,6,2019
336,1,,Component,Other,Belgium,Other,5,2019
337,1,,Component,Other,Belgium,Other,4,2019
338,1,NOWCOMPANY,Component,Other,Belgium,Other,5,2019
339,1,AGU,Component,Other,Belgium,Other,7,2019
340,1,Humpert,Component,Other,Belgium,Other,6,2019
341,1,,Component,Other,Belgium,Other,6,2019
342,1,DPD,Component,Other,France,Other,6,2019
343,1,,Component,Other,Belgium,Other,5,2019
344,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,1,2019
345,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,5,2019
346,1,,Component,Other,Belgium,Other,6,2019
347,5,UBW ZRT,Component,Other,Belgium,Other,1,2019
348,1,RADICAL DESIGN,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,7,2019
349,2,UBW ZRT,Component,Other,France,Other,6,2019
350,1,Humpert,Component,Other,Belgium,Other,7,2019
351,1,HARTJE,Component,Other,Belgium,Other,7,2019
352,1,,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Essential - White Sunrise,2,2019
353,1,,Component,Other,Belgium,Other,3,2019
354,1,,Component,Other,Belgium,Other,6,2019
355,1,UBW,Component,Other,Belgium,Other,1,2019
356,1,,Component,Other,Luxembourg,Other,8,2019
357,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,4,2019
358,1,AGU,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,6,2019
359,1,,Component,Other,Belgium,Other,2,2019
360,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,5,2019
361,1,,Component,Other,Belgium,Other,6,2019
362,1,,Component,Other,Belgium,Other,7,2019
363,1,,Component,Other,Germany,Other,5,2019
364,1,AGU,Component,Other,Belgium,Other,3,2019
365,1,NOWCOMPANY,Component,Other,Belgium,Other,7,2019
366,1,,Component,Other,Belgium,Other,6,2019
367,1,,Component,Other,Belgium,Other,5,2019
368,1,Ahooga Sprl,Component,Other,Belgium,Other,1,2019
369,1,BLB,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,7,2019
370,1,,Component,Other,Sweden,Other,2,2019
371,1,,Component,Other,Belgium,Other,3,2019
372,1,,Component,Other,Belgium,Other,1,2019
373,1,,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Light+ - All Black,5,2019
374,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,7,2019
375,1,UBW ZRT,Bike,Hybrid 24V,Netherlands,Ahooga Folding Bike - Hybrid/Light+ - All Black,5,2019
376,1,UBW ZRT,Component,Other,Germany,Other,4,2019
377,1,,Component,Other,Belgium,Other,3,2019
378,1,UBW ZRT,Component,Other,Belgium,Other,4,2019
379,1,UBW,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,4,2019
380,1,SELLE ROYAL,Component,Other,Belgium,Other,2,2019
381,1,DPD,Component,Other,Belgium,Other,7,2019
382,1,FAHRER,Component,Other,Belgium,Other,1,2019
383,1,,Component,Other,Belgium,Other,6,2019
384,1,AGU,Component,Other,Belgium,Other,2,2019
385,1,FAHRER,Component,Other,Belgium,Other,1,2019
386,1,AGU,Component,Other,Belgium,Other,2,2019
387,1,,Bike,Hybrid 24V,Hong Kong,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,8,2019
388,1,Ahooga Sprl,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,7,2019
389,1,,Component,Other,Belgium,Other,3,2019
390,1,AGU,Component,Other,Belgium,Other,6,2019
391,1,UBW ZRT,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Essential - White Sunrise,7,2019
392,1,,Component,Other,Belgium,Other,4,2019
393,1,UBW,Component,Other,Belgium,Other,2,2019
